dataset,seed,eps,mechanism,sampler,eval_pos,mean_log_degree_product_gap,m_orig,m_released,auc_heur,auc_logreg,auc_degaware,auc_svd,auc_seed,auc_release_max,auc_aux_max,auc_max
email-Eu-core,2,0.5,swap,degree_matched,1000,0.043215253560819,16064,16064,0.815689,0.8789499999999999,0.8908399999999999,0.848732,0.8089685,0.8789499999999999,0.8908399999999999,0.8908399999999999
email-Eu-core,2,0.5,edgeflip,degree_matched,1000,0.043215253560819,16064,193835,0.70325,0.721448,0.7208399999999999,0.618088,0.6745369999999999,0.721448,0.7208399999999999,0.721448
email-Eu-core,2,1.0,tmf,degree_matched,1000,0.043215253560819,16064,16022,0.525953,0.570328,0.594396,0.533792,0.615524,0.570328,0.615524,0.615524
email-Eu-core,2,1.0,dk1dp,degree_matched,1000,0.043215253560819,16064,14925,0.499533,0.47204,0.5124439999999999,0.495232,0.5395894999999999,0.499533,0.5395894999999999,0.5395894999999999
email-Eu-core,2,1.0,dk2dp,degree_matched,1000,0.043215253560819,16064,16053,0.49281,0.4982699999999999,0.500016,0.516468,0.554732,0.516468,0.554732,0.554732
email-Eu-core,2,1.0,swap,degree_matched,1000,0.043215253560819,16064,16064,0.8809715,0.93352,0.925102,0.8949520000000001,0.8781914999999999,0.93352,0.925102,0.93352
email-Eu-core,2,1.0,edgeflip,degree_matched,1000,0.043215253560819,16064,143319,0.7713129999999999,0.7969040000000002,0.819828,0.7104159999999999,0.7327130000000001,0.7969040000000002,0.819828,0.819828
email-Eu-core,2,2.0,tmf,degree_matched,1000,0.043215253560819,16064,15988,0.612408,0.603998,0.658496,0.6151199999999999,0.6081315,0.6151199999999999,0.658496,0.658496
email-Eu-core,2,2.0,dk1dp,degree_matched,1000,0.043215253560819,16064,14896,0.5144365,0.51118,0.518064,0.4876,0.5546314999999999,0.5144365,0.5546314999999999,0.5546314999999999
email-Eu-core,2,2.0,dk2dp,degree_matched,1000,0.043215253560819,16064,16066,0.505301,0.500894,0.50856,0.475284,0.5459689999999999,0.505301,0.5459689999999999,0.5459689999999999
