dataset,seed,eps,mechanism,m_orig,m_released,auc_heur,auc_logreg,auc_degaware,auc_svd,auc_seed,auc_max,deg_dist_norm,clust_err,spec_err,comm_nmi_gt
com-DBLP,1,3.0,tmf,1049866,1049904,0.5005,0.51912,0.8397379999999999,0.492852,0.5156189999999999,0.8397379999999999,0.5566472292654492,0.6351770350512084,0.9328875215073428,0.7852319823393809
com-DBLP,1,3.0,dk1dp,1049866,1052071,0.5024989999999999,0.8256760000000001,0.8317220000000001,0.7493159999999999,0.8248750000000001,0.8317220000000001,0.0220561481179504,0.6350333052351566,0.7950028034279838,0.7767881455945665
com-DBLP,1,3.0,swap,1049866,1049866,0.997996,0.999964,0.999618,0.804288,0.998943,0.999964,0.0,0.0853335221355818,0.0461660647825415,0.7952034585812207
com-DBLP,1,5.0,tmf,1049866,1047817,0.501,0.54765,0.83361,0.504024,0.5235204999999999,0.83361,0.5563576685024565,0.6351406714148448,0.9330345822649616,0.7844406277903154
com-DBLP,1,5.0,dk1dp,1049866,1050243,0.5045,0.8408979999999999,0.834856,0.797144,0.8434210000000002,0.8434210000000002,0.0098212533790027,0.6344938146010917,0.7946187991441803,0.7757748889482148
com-DBLP,1,5.0,swap,1049866,1049866,0.9995,0.999714,1.0,0.8372680000000001,0.999803,1.0,0.0,0.0134684387956185,0.008072923180114,0.796049834883913
com-DBLP,2,0.5,tmf,1049866,1048997,0.5,0.4929179999999999,0.838424,0.5073400000000001,0.497439,0.838424,0.5562919458292773,0.6351770350512084,0.9329431248302564,0.7860619097313736
com-DBLP,2,0.5,dk1dp,1049866,1173725,0.5010004999999998,0.767842,0.8500919999999998,0.733774,0.7559010000000002,0.8500919999999998,0.2369902444692941,0.6350853004724681,0.7883079955840346,0.7750928381027115
com-DBLP,2,0.5,swap,1049866,1049866,0.9509305,0.973826,0.97561,0.7846960000000001,0.975303,0.97561,0.0,0.4890871030367823,0.3622426213908707,0.7870154965280052
com-DBLP,2,1.0,tmf,1049866,1050163,0.5,0.498512,0.8451,0.47144,0.4989475,0.8451,0.5569101199581661,0.6351056064797798,0.9329120146028224,0.7847513362619077
com-DBLP,2,1.0,dk1dp,1049866,1083148,0.501501,0.7800360000000001,0.820988,0.7588039999999999,0.7915310000000001,0.820988,0.1000175260461813,0.6349530003476243,0.7939080121777774,0.7757175795576351
com-DBLP,2,1.0,swap,1049866,1049866,0.972972,0.985658,0.981694,0.798368,0.982572,0.985658,0.0,0.3821923483038791,0.2686707702958256,0.7896870213448853
com-DBLP,2,2.0,tmf,1049866,1049955,0.4995,0.537886,0.84128,0.5180520000000001,0.532926,0.84128,0.5568853548929101,0.6351770350512084,0.9328950441743912,0.784791239534703
com-DBLP,2,2.0,dk1dp,1049866,1056314,0.5004995,0.813446,0.846414,0.753048,0.8098629999999999,0.846414,0.0393640712243278,0.6347977377770829,0.7943276807444803,0.7742154019454199
com-DBLP,2,2.0,swap,1049866,1049866,0.9915,0.994616,0.992188,0.8296040000000001,0.9943135,0.994616,0.0,0.2219885642370917,0.1166855440774135,0.7927477271336156
com-DBLP,2,3.0,tmf,1049866,1051016,0.501,0.485134,0.834864,0.4961319999999999,0.5018560000000001,0.834864,0.5574044687607752,0.6351770350512084,0.932848117446632,0.7854220409891972
com-DBLP,2,3.0,dk1dp,1049866,1051187,0.5035,0.826078,0.814066,0.790864,0.8248419999999999,0.826078,0.0215256042199672,0.6351711816756261,0.7944263001092425,0.7766528528505158
com-DBLP,2,3.0,swap,1049866,1049866,0.998,0.999996,0.999632,0.830488,0.9983355,0.999996,0.0,0.078801706358116,0.0463879535288036,0.7947718185027035
com-DBLP,2,5.0,tmf,1049866,1050982,0.5025,0.503872,0.8443559999999999,0.499816,0.4998255000000001,0.8443559999999999,0.5573854187105783,0.6351770350512084,0.9328514580258616,0.785171903610499
